qPCR target 	RT-PCR kit 	extraction kit 	PCR instrument 	mean_2_e3 	sd_2_e3 	n_labs_2_e3 	mean_1_e3 	sd_1_e3 	n_labs_1_e3 	mean_5_e2 	sd_5_e2 	n_labs_5_e2 	mean_2_e2 	sd_2_e2 	n_labs_2_e2
ORF1ab      	BioGerm    	BioTeke        	various        	32.6      	1.174   	10          	33.7      	0.8233  	10          	34.8      	1.135   	10          	36.25     	1.669   	8
ORF1ab      	BioGerm    	BioGerm        	various        	33.11     	1.696   	37          	34.05     	1.433   	37          	34.78     	1.601   	37          	36.45     	1.549   	29
ORF1ab      	BioGerm    	bioer          	various        	31.88     	1.5     	16          	32.81     	1.377   	16          	34.0      	1.033   	16          	34.92     	1.115   	13
ORF1ab      	BioGerm    	DaAn           	various        	32.73     	0.6467  	11          	34.27     	1.489   	11          	35.73     	1.421   	11          	37.14     	1.864   	7
ORF1ab      	BioGerm    	genfine        	various        	33.11     	1.833   	9           	33.44     	1.59    	9           	34.33     	2.291   	9           	36.57     	1.902   	7
ORF1ab      	BioGerm    	genmabio       	various        	32.56     	1.153   	16          	33.75     	1.0     	16          	35.0      	1.414   	16          	35.71     	0.995   	14
ORF1ab      	BioGerm    	ComWin         	various        	33.0      	2.582   	10          	33.44     	1.59    	9           	34.4      	1.838   	10          	35.38     	1.598   	8
ORF1ab      	BioGerm    	Maccura        	various        	34.0      	1.0     	3           	35.67     	1.155   	3           	36.33     	1.155   	3           	36.67     	1.155   	3
ORF1ab      	BioGerm    	NanoMagBio     	various        	31.2      	0.8367  	5           	32.2      	0.8367  	5           	33.8      	0.8367  	5           	35.0      	0.0     	4
ORF1ab      	BioGerm    	Sansure        	various        	32.0      	1.414   	4           	32.75     	1.893   	4           	34.25     	2.217   	4           	36.0      	1.732   	3
ORF1ab      	BioGerm    	Bioperfectus   	various        	31.71     	1.47    	42          	32.55     	1.783   	42          	33.62     	2.024   	42          	34.68     	2.128   	34
ORF1ab      	BioGerm    	Tianlong       	various        	31.86     	1.388   	112         	32.81     	1.366   	112         	33.85     	1.409   	113         	35.12     	1.577   	95
ORF1ab      	BioGerm    	geneonbio      	various        	30.0      	1.826   	4           	30.75     	1.5     	4           	32.0      	1.155   	4           	33.0      	1.732   	3
ORF1ab      	BioGerm    	ZhongkeBio     	various        	32.4      	0.9947  	20          	33.3      	0.9787  	20          	34.65     	0.8751  	20          	35.44     	0.727   	16
ORF1ab      	BioGerm    	Zybio          	various        	31.73     	2.119   	49          	32.71     	2.17    	49          	33.9      	2.33    	49          	35.05     	2.109   	41
N           	BioGerm    	BioTeke        	various        	31.88     	1.5     	10          	34.4      	1.075   	10          	35.3      	1.16    	10          	36.38     	1.408   	8
N           	BioGerm    	BioGerm        	various        	33.45     	1.214   	37          	34.49     	1.325   	37          	35.3      	1.488   	37          	36.41     	1.268   	29
N           	BioGerm    	bioer          	various        	33.0      	1.0     	16          	34.13     	1.204   	16          	35.13     	1.408   	16          	35.77     	1.363   	13
N           	BioGerm    	DaAn           	various        	32.78     	3.492   	11          	34.82     	1.079   	11          	35.45     	1.128   	11          	36.14     	1.215   	7
N           	BioGerm    	genfine        	various        	33.8      	2.098   	9           	33.56     	2.651   	9           	34.33     	2.915   	9           	35.57     	2.225   	7
N           	BioGerm    	genmabio       	various        	34.0      	1.0     	16          	34.88     	1.544   	16          	35.75     	1.77    	16          	36.43     	1.342   	14
N           	BioGerm    	ComWin         	various        	32.6      	0.8944  	10          	34.5      	1.9     	10          	35.3      	2.003   	10          	36.25     	1.669   	8
N           	BioGerm    	Maccura        	various        	33.0      	0.8165  	3           	35.0      	1.0     	3           	36.0      	0.0     	3           	36.33     	1.155   	3
N           	BioGerm    	NanoMagBio     	various        	32.62     	2.06    	5           	33.8      	1.304   	5           	34.2      	0.8367  	5           	35.75     	1.258   	4
N           	BioGerm    	Sansure        	various        	33.01     	1.597   	4           	34.0      	0.8165  	4           	34.75     	0.9574  	4           	35.33     	0.5774  	3
N           	BioGerm    	Bioperfectus   	various        	33.53     	1.124   	42          	33.43     	2.221   	42          	34.19     	2.255   	42          	35.06     	2.449   	34
N           	BioGerm    	Tianlong       	various        	31.75     	1.5     	112         	33.89     	1.516   	111         	34.69     	1.421   	112         	35.69     	1.452   	94
N           	BioGerm    	geneonbio      	various        	32.78     	1.531   	4           	33.0      	1.826   	4           	33.75     	1.5     	4           	34.33     	1.528   	3
N           	BioGerm    	ZhongkeBio     	various        	32.85     	1.182   	20          	33.6      	0.9947  	20          	34.55     	1.146   	20          	35.38     	1.455   	16
N           	BioGerm    	Zybio          	various        	32.78     	1.531   	49          	33.76     	1.762   	49          	34.57     	1.744   	49          	35.61     	1.481   	41
N           	BioGerm    	Zhijiang       	various        	32.85     	1.182   	19          	34.32     	0.8852  	19          	34.89     	0.8753  	19          	36.0      	0.9535  	12
ORF1ab      	BioGerm    	BioGerm        	ABI7500        	33.29     	1.707   	21          	34.14     	1.59    	21          	34.9      	1.868   	21          	36.65     	1.835   	17
ORF1ab      	BioGerm    	bioer          	ABI7500        	31.67     	1.323   	9           	32.67     	1.0     	9           	34.11     	0.7817  	9           	35.14     	0.8997  	7
ORF1ab      	BioGerm    	genfine        	ABI7500        	32.0      	1.633   	4           	32.5      	1.915   	4           	33.25     	2.986   	4           	36.67     	2.887   	3
ORF1ab      	BioGerm    	genmabio       	ABI7500        	32.86     	1.345   	7           	34.0      	1.291   	7           	35.29     	1.604   	7           	36.14     	1.069   	7
ORF1ab      	BioGerm    	lepu           	ABI7500        	32.0      	2.0     	3           	32.33     	2.082   	3           	33.67     	2.082   	3           	36.0      	2.0     	3
ORF1ab      	BioGerm    	Bioperfectus   	ABI7500        	32.7      	1.767   	10          	33.5      	1.958   	10          	35.0      	1.944   	10          	35.25     	1.488   	8
ORF1ab      	BioGerm    	Tianlong       	ABI7500        	31.79     	1.673   	33          	32.79     	1.556   	33          	33.76     	1.601   	33          	35.26     	1.607   	27
ORF1ab      	BioGerm    	Zhijiang       	ABI7500        	32.75     	1.258   	4           	33.25     	0.9574  	4           	34.25     	0.9574  	4           	35.33     	0.5774  	3
ORF1ab      	BioGerm    	ZhongkeBio     	ABI7500        	32.71     	0.7263  	14          	33.57     	0.8516  	14          	34.71     	0.7263  	14          	35.64     	0.6742  	11
ORF1ab      	BioGerm    	Zybio          	ABI7500        	31.54     	2.47    	13          	32.69     	2.562   	13          	34.31     	2.25    	13          	35.36     	2.873   	11
N           	BioGerm    	BioGerm        	ABI7500        	34.05     	1.564   	21          	34.52     	1.601   	21          	35.24     	1.841   	21          	36.29     	1.49    	17
N           	BioGerm    	bioer          	ABI7500        	33.56     	1.424   	9           	34.33     	1.118   	9           	35.67     	1.118   	9           	36.14     	0.8997  	7
N           	BioGerm    	genfine        	ABI7500        	30.5      	4.123   	4           	31.75     	3.202   	4           	32.5      	3.697   	4           	35.0      	3.606   	3
N           	BioGerm    	genmabio       	ABI7500        	34.43     	1.397   	7           	35.57     	1.512   	7           	36.29     	1.704   	7           	36.71     	1.38    	7
N           	BioGerm    	lepu           	ABI7500        	33.0      	1.0     	3           	34.33     	2.082   	3           	34.67     	2.082   	3           	36.0      	1.732   	3
N           	BioGerm    	Bioperfectus   	ABI7500        	32.9      	2.234   	10          	33.9      	2.424   	10          	34.8      	2.348   	10          	36.13     	1.246   	8
N           	BioGerm    	Tianlong       	ABI7500        	33.27     	1.485   	33          	34.24     	1.324   	33          	34.88     	1.219   	33          	36.04     	1.315   	27
N           	BioGerm    	Zhijiang       	ABI7500        	33.5      	0.5774  	4           	34.5      	0.5774  	4           	35.0      	1.155   	4           	36.67     	0.5774  	3
